Código,Nombre,Peso (kg/m),Largo (m)
00278,LISTEL ALTO PARA REVESTIMIENTO TUBULAR 12MM,0.145,6.05
00279,LISTEL ALTO PARA REVESTIMIENTO TUBULAR 20MM,0.192,6.05
00280,,,
00302,,,
00303,"MARCO PUERTA PLACA 1 1/2""",0.458,6.2
00304,"MARCO PUERTA PLACA 2""",0.464,6.2
00305,MARCO PUERTA PLACA 50mm BISAGRA ENCOLIZADA,0.6,6.2
00305,MARCO PUERTA PLACA 2” BISAGRA ENCOLIZADA,0.6,6.2
00306,MARCO PUERTA PLACA 2” LIVIANO,0.395,6.2
00307,MARCO PUERTA PLACA 2”,0.355,6.2
00308,"MARCO PUERTA PLACA RECTO 2""",0.412,6.2
00330,UNION 90º MARCO 75mm,1.205,6.2
00331,UNION 90º MARCO 75mm,1.245,6.02
00351,"TREFILADO CUADRADO 10,0 x 10,0 x 0,7mm",0.081,
00355,"TREFILADO CUADRADO 12,0 x 12,0 x 0,7mm",0.087,
00356,"TREFILADO CUADRADO 15,0 x 15,0 x 0,7mm",0.125,
00373,ZOCALO PORTA BURLETE,0.126,6.05
00374,ZOCALO PARA TANQUE,1.27,6.05
00375,ESCALON,0.597,
00376,LLANTA DE BICICLETA,0.23,6.05
00377,CORREDERA ASIENTO DE BOTE,0.205,
00378,LLANTA DE BICICLETA MODELO 2,0.24,6.05
00379,PERFIL J 15X27X18,0.195,6.05
00380,GUIA MARCO REFRIGERACION,,
00384,PIE DE BICICLETA,1.036,
00399,,,
00400,,,
00401,ZETA POSTIGON,0.222,6.05
00404,MOSQUITERO CANAL 9,0.144,6.05
00406,F 20mm LIVIANO,0.1,6.05
00407,F 22mm PESADA,0.115,6.05
00408,,,
00409,F25 RAYADA,,
00410,F 22mm SIN PATA,0.11,
00411,CELOSIA MINI,0.164,6.05
00412,,,
00413,TABLILLA CORTINA DE ENROLLAR 55MM,0.422,6.05
00414,TABLILLA GIRATORIA,0.457,6.05
00415,TABLILLA CORTINA BARRIO,0.526,6.05
00416,ZOCALO CORTINA DE ENROLLAR 55MM,0.485,6.05
00417,TABLILLA CURVA 75 MM,0.301,6.05
00418,TABLILLA POSTIGON 65mm,0.265,6.05
00419,TABLILLA CURVA 40 MM,0.203,6.05
00420,TABLILLA POSTIGON 60mm,0.248,6.05
00427,TABLILLA CURVA 75 MM TROQUELADA,0.294,6.05
00428,TABLILLA POSTIGON 65mm TROQUELADA,0.247,6.05
00429,TABLILLA CURVA 40 MM TROQUELADA,0.203,6.05
00430,TABLILLA POSTIGON 60mm TROQUELADA,0.242,6.05
00433,TABLILLA CORTINA DE ENROLLAR 55MM TROQUELADA,0.406,6.05
00450,ESCUADRA DE ARMADO CANAL 9,1.321,
00451,ESCUADRA ARMADO 9mm,0.558,6.05
00452,ESCUADRA ARMADO 12mm,0.492,6.05
00453,ESCUADRA ARMADO 13mm,0.62,6.05
00454,"ESCUADRA DE ARMADO DE 13,5 MM",0.583,
00455,"ESCUADRA DE ARMADO DE 14,5",,
00457,ESCUADRA ARMADO 13mm LIVIANA,0.416,6.05
00458,ESCUADRA DE ARMADO 50mm LIVIANA,0.365,6.05
00460,ESCUADRA ARMADO TUBULAR 13mm,0.735,6.05
00461,ESCUADRA SUPLEMENTARIA DE ARMADO,1.113,6.05
00462,ESCUADRA DE ARMADO FRENTE INTEGRAL 55MM,1.746,6.05
00500,MARCO EXHIBIDOR GRANDE,0.51,6.05
00501,MARCO EXHIBIDOR CHICO,0.373,6.05
00502,TRAVESAÑO PARA EXHIBIDOR,0.584,6.05
00503,HOJA DE EXHIBIDOR,0.282,6.05
00504,GUIA PARA EXHIBIDOR,0.355,6.05
00505,RIEL EXHIBIDOR,0.276,6.05
00512,,,
00526,,,
00551,CABEZAL,0.749,6.05
00552,UMBRAL SANITARIO,0.343,6.05
00553,JAMBA,0.28,6.05
00554,HOJA,0.305,6.05
00555,PERFIL TOALLERO,0.301,6.05
00582,,,
00584,,,
00587,,,
00600,"ANGULO ALAS DESIGUALES 14,0 x 7,0 x 1,0MM",0.053,
00601,"ANGULO ALAS DESIGUALES 15,0 x 8,0 x 1,0MM",0.064,
00603,"ANGULO ALAS DESIGUALES 40,0 x 20,0 x 3,0MM",0.504,
00604,"ANGULO ALAS DESIGUALES 50,0 x 38,0 x 4,0mm",1.005,
00605,"ANGULO ALAS DESIGUALES 18,0 x 8,0 x 1,3mm",0.087,6.05
00606,"ANGULO ALAS DESIGUALES 25,0 x 17,0 x 1,5mm",0.18,
00607,"ANGULO ALAS DESIGUALES 43,0 x 15,0 x 2,0mm",0.331,
00608,"ANGULO ALAS DESIGUALES 45,0 x 25,0 x 1,0mm",0.227,
00612,,,
00613,,,
00614,,,
00615,,,
00616,"ANGULO ALAS DESIGUALES  40,0 x 22,0 x 2,0mm",0.355,
00619,,,
00626,,,
00627,"ANGULO ALAS DESIGUALES 18,0 x 10,0 x 1,5 mm",0.12,
00628,,,
00629,"ANGULO ALAS DESIGUALES 27,0 x 16,0 x 2,5 mm",0.228,
00631,,,
00632,,,
00635,,,
00637,,,
00638,,,
00639,"ANGULO ALAS DESIGUALES 50,0 x 25,0 x 1,5mm",0.283,6.05
00640,ANGULO ALAS DESIGUALES 60.0 X 12.0 X 1.6MM,0.308,6.05
00641,,,
00642,"ANGULO ALAS DESIGUALES 20,0 x 10,0 x 1,5mm",0.117,6.05
00643,"ANGULO ALAS DESIGUALES 25,0 x 9,0 x 1.2MM",0.114,
00650,"ANGULO ALAS IGUALES 12,5 x 12,5 x 1,0mm",0.097,6.05
00651,"ANGULO ALAS IGUALES 15,0 x 15,0 x 1,8mm",0.137,6.05
00652,"ANGULO ALAS IGUALES 15,8 x 15,8 x 1,0mm",0.077,6.05
00653,"ANGULO ALAS IGUALES 19,0 x 19,0 x 1,5mm",0.15,6.05
00654,,,
00655,"ANGULO ALAS IGUALES 25,0 x 25,0 x 1,0mm",0.12,6.05
00656,"ANGULO ALAS IGUALES 25,0 x 25,0 x 1,5mm",0.2,6.05
00657,"ANGULO ALAS IGUALES 32,0 x 32,0 x 2,3mm",0.341,6.05
00658,"ANGULO ALAS IGUALES 38,0 x 38,0 x 2,0mm",0.407,6.05
00659,"ANGULO ALAS IGUALES 38,0 x 38,0 x 3,0mm",0.596,6.05
00660,"ANGULO ALAS IGUALES 40,0 x 40,0 x 2,5mm",0.528,6.05
00661,"ANGULO ALAS IGUALES 50,0 x 50,0 x 1,5mm",0.407,6.05
00662,,,
00663,"ANGULO ALAS IGUALES 24,0 x 24,0 x 1,0mm",0.115,6.05
00664,"ANGULO ALAS IGUALES 50,0 x 50,0 x 4,0mm",1.047,6.05
00665,"ANGULO ALAS IGUALES 50,0 x 50,0 x 3,0mm",0.8,6.05
00666,"ANGULO ALAS IGUALES 13,0 x 13,0 x 2,5mm",0.157,6.05
00667,,,
00668,"ANGULO ALAS IGUALES 19,0 x 19,0 x 2,0mm",0.22,
00669,"ANGULO ALAS IGUALES 20,0 x 20,0 x 1,5mm",0.157,6.05
00670,"ANGULO ALAS IGUALES 22,0 x 22,0 x 2,0mm",0.231,6.05
00671,"ANGULO ALAS IGUALES 25,0 x 25,0 x 3,0mm",0.381,6.05
00672,"ANGULO ALAS IGUALES 31,7 x 31,7 x 1,5mm",0.254,6.05
00673,"ANGULO ALAS IGUALES 31,7 x 31,7 x 3,5mm",0.62,
00674,"ANGULO ALAS IGUALES 32,0 x 32,0 x 5,0mm",0.796,6.05
00675,"ANGULO ALAS IGUALES 15,8 x 15,8 x 1,8mm",0.147,6.05
00676,"ANGULO ALAS IGUALES 17,0 x 17,0 x 4,0mm",0.329,6.05
00677,"ANGULO ALAS IGUALES 19,5 x 19,5 x 1,1mm",0.114,6.05
00700,,,
00701,"PLANCHUELA 12,0 x 2,0mm",0.065,6.05
00702,"PLANCHUELA 12,0 x 3,0mm",0.1,6.05
00703,"PLANCHUELA 12,5 x 3,0mm",0.103,6.05
00704,,,
00705,"PLANCHUELA 13,0 x 3,0mm",0.107,6.05
00706,,,
00707,,,
00708,,,
00709,"PLANCHUELA 19,0 x 2,0mm",0.104,6.05
00710,"PLANCHUELA 19,0 x 3,0mm",0.156,6.05
00711,"PLANCHUELA 20,0 x 2,5mm",0.14,6.05
00712,,,
00713,,,
00714,,,
00715,,,
00716,"PLANCHUELA 25,0 x 2,0mm",0.137,6.05
00717,,,
00718,"PLANCHUELA 31,7 x 2,0mm",0.18,6.05
